open,high,low,close,volume,amount
11.03,11.04,11.02,11.04,464.0,511921.0
11.04,11.05,11.03,11.05,493.0,544347.0
11.05,11.06,11.04,11.05,662.0,731504.0
11.05,11.05,11.03,11.04,312.0,344655.0
11.04,11.06,11.04,11.04,547.0,604516.0
11.04,11.04,11.03,11.04,360.0,397271.0
11.04,11.04,11.02,11.03,825.0,909626.0
11.03,11.03,11.02,11.02,285.0,314136.0
11.02,11.05,11.02,11.05,734.0,809721.0
11.05,11.08,11.03,11.07,982.0,1085879.0
11.07,11.07,11.05,11.06,211.0,233313.0
11.05,11.07,11.04,11.07,2775.0,3059822.0
11.07,11.08,11.06,11.07,887.0,981700.0
11.06,11.06,11.04,11.04,464.0,512905.0
11.05,11.07,11.04,11.07,818.0,903752.0
11.06,11.07,11.04,11.06,892.0,986208.0
11.06,11.06,11.04,11.06,381.0,421175.0
11.06,11.07,11.04,11.07,1200.0,1326678.0
11.07,11.07,11.04,11.04,1830.0,2021572.0
11.04,11.05,11.03,11.04,375.0,414093.0
11.04,11.05,11.03,11.05,352.0,388879.0
11.04,11.07,11.04,11.07,651.0,719623.0
11.05,11.07,11.05,11.07,256.0,283273.0
11.07,11.07,11.05,11.06,287.0,317430.0
11.06,11.06,11.05,11.06,440.0,486507.0
11.06,11.06,11.04,11.05,1263.0,1395975.0
11.04,11.05,11.04,11.04,1068.0,1179463.0
11.05,11.05,11.04,11.04,1384.0,1529031.0
11.04,11.06,11.04,11.05,1374.0,1518557.0
11.0,11.0,10.92,10.93,4093.0,4483667.0
10.93,10.97,10.92,10.95,3212.0,3512061.0
10.95,10.96,10.94,10.96,1298.0,1420804.0
10.96,10.96,10.89,10.89,6825.0,7460077.0
10.89,10.93,10.88,10.91,2557.0,2786688.0
10.89,10.89,10.87,10.89,3179.0,3459864.0
10.9,10.9,10.86,10.86,3257.0,3542590.0
10.87,10.87,10.82,10.85,2953.0,3203466.0
10.84,10.86,10.83,10.83,2526.0,2738528.0
10.82,10.85,10.8,10.81,3692.0,3995308.0
10.81,10.84,10.79,10.81,2544.0,2750965.0
10.81,10.84,10.8,10.81,1475.0,1594938.0
10.8,10.81,10.78,10.79,1369.0,1477893.0
10.78,10.8,10.76,10.78,1532.0,1651515.0
10.77,10.79,10.76,10.76,949.0,1021939.0
10.75,10.76,10.73,10.75,1542.0,1657182.0
10.75,10.77,10.74,10.76,874.0,939985.0
10.76,10.79,10.76,10.77,546.0,588261.0
10.77,10.79,10.76,10.76,1067.0,1149959.0
10.77,10.79,10.76,10.78,547.0,589417.0
10.79,10.83,10.77,10.82,1516.0,1636842.0
10.82,10.83,10.79,10.82,717.0,775248.0
10.82,10.84,10.8,10.83,632.0,683842.0
10.82,10.85,10.81,10.84,718.0,778040.0
10.84,10.85,10.82,10.82,786.0,852256.0
10.82,10.88,10.81,10.87,1170.0,1268216.0
10.87,10.89,10.87,10.88,1253.0,1363942.0
10.88,10.9,10.88,10.9,663.0,722203.0
10.88,10.9,10.87,10.88,566.0,615831.0
10.89,10.89,10.87,10.89,231.0,251370.0
10.89,10.89,10.87,10.89,158.0,171900.0
10.89,10.89,10.86,10.86,337.0,366327.0
10.87,10.87,10.85,10.85,431.0,468176.0
10.86,10.86,10.84,10.86,567.0,615070.0
10.85,10.86,10.83,10.84,231.0,250355.0
10.84,10.85,10.83,10.83,302.0,327148.0
10.83,10.86,10.83,10.85,485.0,526018.0
10.85,10.87,10.84,10.86,480.0,521290.0
10.87,10.87,10.83,10.84,432.0,468658.0
10.84,10.87,10.83,10.86,1034.0,1122480.0
10.86,10.88,10.85,10.86,1110.0,1206399.0
10.86,10.86,10.83,10.84,548.0,593955.0
10.84,10.85,10.82,10.85,1095.0,1185831.0
10.84,10.85,10.8,10.81,1270.0,1373275.0
10.81,10.83,10.79,10.81,1512.0,1633749.0
10.81,10.83,10.78,10.8,1368.0,1477133.0
10.8,10.8,10.78,10.79,1715.0,1850578.0
10.79,10.8,10.78,10.8,1971.0,2127522.0
10.78,10.86,10.78,10.84,2874.0,3109932.0
10.84,10.84,10.79,10.81,2942.0,3183972.0
